galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
NGC2915_rotmod,30,280.63242306048704,9.676980105534035,3.1056432913741028,3.9731337375727342,2.565268611419339,74.11666666666669,56.25293667177856,0.7589782325852739,1.2272252602556232e-11,1.931247392758865e-11,-1.1693645762323597,-0.015398494861209533,0.0,0.2146369180057712,-0.046191833736665945,0.26082875174243714,0.8081667096497664,5.16915442811784e-11,11.0,BCD,83.5,347.4,2.0,-0.18032355413128162,1.245306667818913,-1.3333333333333333,-0.27131928295381,0.49846971990637845,-0.7272727272727273,-0.1019916548745841
NGC4157_rotmod,17,157.7520840953474,9.859505255959213,2.261669847830404,4.643838380954751,-2.61425574879042,180.78823529411764,200.30633155155692,1.1079610972787362,8.430984762823941e-11,3.941411551211386e-11,-1.635708596814924,0.5693410026617878,0.0,0.9962399456853422,1.5446254285120298,-0.5483854828266875,0.8081667096497664,1.1294457845648295e-10,3.0,Sb,184.7,848.85,1.0,0.6135627012171029,2.1387123062685514,1.3333333333333333,0.9231816272888586,0.7933071515591479,0.7272727272727273,0.8819106738585836
UGC07559_rotmod,7,60.19464882377488,10.032441470629147,2.921115100377736,3.39371402095159,-2.895154793285648,23.65857142857143,33.009921410884075,1.3952626645503805,5.652015958976336e-12,2.1006580204202715e-11,-0.21280989810116108,0.1613733170893268,0.0,1.0347161296697953,0.479960890300127,0.5547552393696682,0.8081667096497664,1.1737493998830184e-10,10.0,Im,0.0,17.9,2.0,0.0,-1.720369473141382,-1.0,0.0,-0.4802484556717358,-0.5454545454545455,-0.9999157314338284
NGC1003_rotmod,36,352.39498122874056,10.068428035106873,2.6821930276881965,4.936083909918187,-1.1332874077557493,99.03055555555555,101.73582239769188,1.027317496372306,9.703530001725492e-12,2.299631612894113e-11,-0.9949738030232643,0.06574628018682843,0.0,0.7477021648229393,0.19695513796135922,0.5507470268615801,0.8081667096497664,8.809003896027433e-11,6.0,Scd,109.8,140.87,1.0,0.09349034308733876,0.34266729328412415,0.3333333333333333,0.14066788430254284,0.20058501508368612,0.18181818181818182,-0.9223223665452869
UGC07089_rotmod,12,112.25448086084025,10.204952805530931,2.801796082314978,3.9360735216371356,-2.902122584485626,59.791666666666664,73.84247207487635,1.234996048639047,9.805991362654534e-12,2.735522652945841e-11,-0.6657162839646363,0.05379110569644227,0.0,0.7159303945606108,0.16121785336682298,0.5547125411937878,0.8081667096497664,8.533525636947693e-11,8.0,Sdm,0.0,37.4,2.0,0.0,-0.9834994815676051,-0.3333333333333333,0.0,-0.23707016528773442,-0.18181818181818182,-0.9990216179740771
UGC08490_rotmod,30,297.9294554481688,10.273429498212717,3.0195975835006106,4.271373451618161,3.0383603362313747,75.15666666666667,63.94511702597289,0.8508242829552431,1.2092407833897396e-11,2.3005559488911194e-11,-1.2894822419340157,-0.20030436444623506,0.0,-0.04090266630168449,-0.5930034298804607,0.5521007635787762,0.8081667096497664,4.003502236958035e-11,9.0,Sm,78.6,124.98,1.0,-0.2407984865529306,0.22298353851284428,-0.6666666666666666,-0.36231136316412094,0.16108755799514635,-0.36363636363636365,-0.9471690783520471
NGC2903_rotmod,34,346.6789547750345,10.505422871970744,1.0303780230381179,2.826656022117009,-0.9006055498514036,182.7058823529412,189.9606814474027,1.039707528849274,2.961621615499399e-10,3.090689194867415e-11,-1.5169742733030458,0.6224396595067441,0.0,1.1227533714046947,1.6584731295554065,-0.5357197581507118,0.8081667096497664,1.2817681372902912e-10,4.0,Sbc,184.6,632.16,1.0,0.6130211360806603,1.8439723406749893,1.0,0.9223667749796289,0.6960384857694031,0.5454545454545455,0.7132883614779296
NGC2955_rotmod,24,243.01119893027132,10.565704301316144,2.8208557005609727,4.835769432621478,1.19140001164105,252.125,234.7906534235044,0.9312470140743854,3.2185631425609945e-10,1.083053402953074e-12,-1.3787145577291906,-0.21516442278576908,0.0,-1.186541417708233,-0.6357131458994264,-0.5508282718088066,0.8081667096497664,1.2731966507864239e-11,3.0,Sb,0.0,974.61,1.0,0.0,2.276867204988416,1.3333333333333333,0.0,0.8389003667301417,0.7272727272727273,0.9237773770197313
F568-V1_rotmod,15,148.48769447801513,10.606263891286796,1.5411265875447682,5.60713477173794,2.415666116601701,94.81333333333333,70.43591442955054,0.7428903926615511,7.325596061280814e-12,2.3691145583635576e-11,-0.4002167165218954,0.14832308551702528,0.0,0.9964678350254784,0.44173464880501856,0.5547331862204599,0.8081667096497664,1.1297032025496868e-10,7.0,Sd,112.3,31.39,1.0,0.11600367575630613,-1.1586808151342292,0.0,0.17454200189118443,-0.2948826663952054,0.0,-0.9994537348276609
DDO154_rotmod,12,117.10569813308895,10.645972557553542,2.7226657032357657,5.151807955254249,0.5421365699424873,38.18333333333333,38.783604073846426,1.015720752697855,3.4539107554373653e-12,1.4259160238602843e-11,-0.949604634505215,-0.8040036729503038,0.0,-1.4440538390514388,-1.9988072926764375,0.5547534536249988,0.8081667096497664,9.841453932581539e-12,10.0,Im,47.0,19.99,2.0,-0.7550225842780328,-1.6099380374757828,-1.0,-1.1360256687881671,-0.44380440443217256,-0.5454545454545455,-0.9998783058066996
