galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
DDO168_rotmod,10,148.48274562824503,16.49808284758278,2.370343079806724,6.357559759109914,-0.9414683830676038,41.46,42.63187483962597,1.0282651915008676,8.995118937835805e-12,2.149985062828598e-11,-0.6438781803478275,-0.0729707719254743,-0.2185245916487229,-0.17679119887181255,-0.2185245916487229,-0.020053969452308848,0.6694534488988859,1.844545372707248e-10,10.0,Im,53.4,18.23,2.0,-0.6273594400219421,-1.7021015972975195,-1.0,-0.9439405419945033,-0.47421977915151287,-0.5454545454545455,0.5286728330361306
D631-7_rotmod,16,248.95917245994806,16.59727816399654,2.786306525134389,5.696973925283645,-1.4138748719078067,43.038125,44.44301532995783,1.0326429260093888,5.177948505715505e-12,1.6427630793493356e-11,-1.2119133599675624,-0.06062149854941281,-0.18164204069700302,-0.13653952788978937,-0.18164204069700302,-0.021672918348461013,0.694605586142406,1.9203059218682212e-10,10.0,Im,57.7,20.93,1.0,-0.5499130124740373,-1.563986649530183,-1.0,-0.8274127301350844,-0.42863974840171437,-0.5454545454545455,0.6401397637750105
NGC6674_rotmod,15,235.94941344390338,16.853529531707384,3.5223067658099936,6.252025089169339,0.03967957421725193,249.93333333333334,242.35840998181695,0.9696922245204732,4.555827465439859e-11,5.3604285191022576e-11,-1.655280799400448,0.10437284504116048,0.3119864623480969,0.3635394657697961,0.3119864623480969,-0.024772545125195736,1.1379374923782692,3.166299327328172e-10,3.0,Sb,241.3,560.83,1.0,0.8808707866428948,1.724247643308615,1.3333333333333333,1.3253799890884512,0.6565275170025581,0.7272727272727273,0.9998667977050452
F561-1_rotmod,6,91.63029913981394,18.326059827962787,2.9582171995055653,5.847940904672187,-3.4115129634555514,43.25,61.28420333669854,1.4169757996924517,6.1852859471641295e-12,1.714456458766041e-11,-0.07130281717371106,-0.09248275438212301,-0.2766599495000142,-0.2305985880011714,-0.2766599495000142,-0.022133669825679905,0.6316442080753574,1.7479181436167443e-10,9.0,Sm,50.0,22.12,3.0,-0.6931471805599453,-1.5086880093339572,-0.6666666666666666,-1.0429264048004643,-0.410390357142399,-0.36363636363636365,0.6786024574345498
NGC0024_rotmod,29,521.9999711504141,18.64285611251479,3.3111738416254055,5.758844959122793,3.635513128989149,84.65862068965517,60.419452388114095,0.7136834015947655,2.6080713343319917e-11,4.3028360446622215e-11,-1.1132797892551352,-0.008301544981731161,-0.02490406285460306,0.026609747736033765,-0.02490406285460306,-0.024753711961041643,0.8124725754676367,2.2606079539464468e-10,5.0,Sc,106.3,151.65,1.0,0.06109509935981083,0.4164050481464987,0.6666666666666666,0.09192519873597635,0.22491959427572195,0.36363636363636365,0.9966661822105031
UGC06614_rotmod,13,226.37358412301415,18.864465343584513,2.076432222633952,7.425378365038887,-3.351471094544197,186.30769230769232,222.54125852688742,1.1944823950658696,6.799991019656589e-11,5.6090508472970015e-11,-3.1605398014942208,0.056236206764592206,0.16853099736442612,0.22008547338418938,0.16853099736442612,-0.02477325274647037,0.9858628233994976,2.743157170097402e-10,1.0,Sa,199.8,1461.61,1.0,0.6921466802263618,2.682123660869487,2.0,1.0414210272339524,0.9726411530766723,1.090909090909091,0.9999874163900498
UGC00191_rotmod,9,170.7115935333198,21.338949191664977,3.45104880683536,6.476397753579221,0.4325559571298743,58.977777777777774,54.77760915372711,0.9287838778891184,9.418503282676633e-12,2.9208443731255005e-11,-0.25893886904088326,0.018043506074323288,0.05412464459767809,0.10504579337971719,0.05412464459767809,-0.024468922706817754,0.8792865744497395,2.445060406907314e-10,9.0,Sm,0.0,50.21,1.0,0.0,-0.6889559759414773,-0.6666666666666666,0.0,-0.13986633427149892,-0.36363636363636365,0.9504233788452897
UGC05721_rotmod,23,475.0220924757508,21.59191329435231,4.188175036392539,6.4097650142010565,4.165365425826647,70.33478260869565,50.13977176028643,0.7128730608188094,1.8271353948367498e-11,3.116669954917884e-11,-0.9046738040835527,-0.03618059127684427,-0.10849443694963473,-0.056953849043025355,-0.10849443694963473,-0.024766579150618077,0.7473187390308161,2.0793808611630607e-10,7.0,Sd,79.7,233.79,1.0,-0.22690060019192196,0.8492530905354878,0.0,-0.3414002593418374,0.3677660232901641,0.0,0.9988509012084098
UGC11455_rotmod,36,773.2669708547272,22.093342024420778,3.5584799002593037,7.567479366371634,-4.018828376009916,228.2444444444444,255.24718104041142,1.118306216222229,8.409621268626423e-11,1.1364011103372317e-10,-0.8990481995419215,0.14900315135994827,0.4437304125419314,0.49528348813121614,0.4437304125419314,-0.02477257980357817,1.2981774987031611,3.6121657516922814e-10,6.0,Scd,269.4,571.26,1.0,0.9910270779881722,1.7426742615375637,0.3333333333333333,1.4911238716590696,0.6626085809211798,0.18181818181818182,0.9998727082507535
F574-2_rotmod,5,88.61203090316542,22.153007725791355,4.401828414589023,5.629011207753886,-3.8608866322093034,28.32,60.723027418487575,2.1441746969804933,2.858302985505481e-12,1.5992401976286785e-11,0.5049665388980099,0.018043506074323288,0.05412464459767809,0.0483765087018998,0.05412464459767809,0.0027621272556932947,0.8792865744497395,2.3103535025797225e-10,9.0,Sm,0.0,10.89,3.0,0.0,-2.2173252490432223,-0.6666666666666666,0.0,-0.644251410551416,-0.36363636363636365,-0.04624034341863355
UGC00731_rotmod,12,244.47080370453162,22.224618518593783,3.8295577229198594,6.63883893653481,2.419499350811528,61.783333333333324,55.66117441950393,0.9009092163933737,3.0282728482840716e-12,1.4431451776884457e-11,0.5572600577812549,-0.022463204656612695,-0.06737828142376309,-0.019456935140032813,-0.06737828142376309,-0.023027440391070634,0.7786860452070644,2.1588314941881324e-10,10.0,Im,73.3,25.63,1.0,-0.3106095770954856,-1.3614066456121117,-1.0,-0.46735085797376613,-0.36178526988839227,-0.5454545454545455,0.7648994999961161
NGC4068_rotmod,6,115.83773835957389,23.16754767191478,3.860798159231357,6.264115443297712,-3.988196878094079,24.763333333333335,34.67937655056499,1.400432489590725,6.861496691547969e-12,2.553738012686586e-11,0.2324941599727882,0.027065259111484934,0.08117595707508089,0.1304070580938989,0.08117595707508089,-0.023656811254538956,0.9033970703443334,2.50786324466231e-10,10.0,Im,0.0,30.26,2.0,0.0,-1.1953434776278813,-1.0,0.0,-0.3069819019294011,-0.5454545454545455,0.8374127585319303
