report_file,model,modulate,loss,n_galaxies,n_points,chi2_total,median_chi2_dof_like,mean_chi2_dof_like,bad_fit_fraction_gt20,very_bad_fit_fraction_gt100,aic_like,bic_like,A,log10_g1,gamma,Bs,Ydisk,Ybul,objective,success
cos_dm_v6_4_g1_report.json,global_mod_v6_4,g1,chi2,171,3375,117944.26501878598,13.156531453923536,32.16750445537306,0.39766081871345027,0.10526315789473684,117996.26501878598,118155.49293447196,0.8106883360843361,-8.985942740153774,2.2084819454538644,-0.011423872623617099,0.5145198152996959,0.7910698434501426,117949.83331972822,True
cos_dm_v6_4_hybrid_report.json,global_mod_v6_4,hybrid,chi2,171,3375,119049.17812107815,13.43267852083334,30.87942221419729,0.391812865497076,0.07017543859649122,119103.17812107815,119268.53018736743,0.7969666487314581,-9.891269114642421,2.9513038336471515,0.0014312641126951115,0.438768281897381,0.7533062655715126,119053.18369135515,False
cos_dm_v6_5_g1_quick_report.json,global_mod_v6_5,g1,chi2,171,3375,114312.84906800975,9.715788864527974,30.679900653344436,0.36257309941520466,0.08187134502923976,114370.84906800975,114548.44943550564,0.7967076260961692,-8.857058548310338,2.1542633627898584,-0.012213736581499934,0.553714914993801,0.7916151652036008,114322.37620573942,True
cos_dm_v6_5_g1_report.json,global_mod_v6_5,g1,chi2,171,3375,114312.84906800975,9.715788864527974,30.679900653344436,0.36257309941520466,0.08187134502923976,114370.84906800975,114548.44943550564,0.7967076260961692,-8.857058548310338,2.1542633627898584,-0.012213736581499934,0.553714914993801,0.7916151652036008,114322.37620573942,True
cos_dm_v6_5_hybrid_report.json,global_mod_v6_5,hybrid,chi2,171,3375,141364.74097990218,12.536369075054607,34.268839562785516,0.3742690058479532,0.09941520467836257,141424.74097990218,141608.46549800137,1.5696322090437578,-10.797784457797746,0.10878953758269128,0.0015984608808180534,0.4002305473752277,0.6018813146152494,141368.96140572385,False
cos_dm_v6_6_1_g1_quick_report.json,global_mod_v6_6,g1,chi2,171,3375,112785.56663935594,10.497988819175271,31.43063247855733,0.36257309941520466,0.08187134502923976,112845.56663935594,113029.29115745514,0.769854648920961,-9.033098874677123,2.252983630014385,-0.010932523522253157,0.5470112767056639,0.8064722288991286,112791.63530732815,False
cos_dm_v6_6_1_g1_report.json,global_mod_v6_6,g1,chi2,171,3375,109791.44962785604,10.390377507256726,31.05839742268026,0.40350877192982454,0.08187134502923976,109851.44962785604,110035.17414595524,0.8096005457987383,-9.102706633553614,1.394152858086817,-0.012372323578421107,0.5473531470994263,0.7454509353237967,109809.22013649477,True
cos_dm_v6_6_1_hybrid_report.json,global_mod_v6_6,hybrid,chi2,171,3375,135310.25609955014,12.456930484684078,32.94244044701493,0.3684210526315789,0.08187134502923976,135372.25609955014,135562.10476825264,9.912581181018702,-10.552535562924474,1.356934461108749,-0.005265125790936354,0.35544693862552407,0.6344792557696421,135317.18358359896,True
cos_dm_v6_7_g1_report.json,global_mod_v6_7,g1,chi2,171,3375,124963.76552218807,10.260766216602356,31.359232199894574,0.3567251461988304,0.07602339181286549,125029.76552218807,125231.86249209719,0.8162864427644934,-10.400358366624927,2.0578116880577717,-0.016498469592694964,0.5162844080635656,0.822005760527946,124979.25773405262,True
cos_dm_v6_7_hybrid_report.json,global_mod_v6_7,hybrid,chi2,171,3375,134190.91717456898,13.097576231143858,33.9372085428664,0.391812865497076,0.08771929824561403,134258.91717456898,134467.13829508141,0.8362244203250411,-8.530560462915663,0.4695401985617309,-0.02479611333960141,0.42539715933261857,0.6628213480800256,134206.38089076692,False
cos_dm_v6_8_g1_report.json,global_mod_v6_8,g1,chi2,171,3375,128318.20357090354,10.639871774973118,31.379272543666836,0.3508771929824561,0.08187134502923976,128382.20357090354,128578.17639020935,0.8227361738473968,-10.401336282159654,2.512523142212158,-0.0038665469706076205,0.513698002233361,0.868063769537454,128325.73952739031,True
cos_dm_v6_8_hybrid_report.json,global_mod_v6_8,hybrid,chi2,171,3375,135556.65170557366,11.874909732423664,33.234655430664446,0.39766081871345027,0.09941520467836257,135622.65170557366,135824.74867548278,0.8422204908418909,-9.656307383818303,1.9400647922230854,-0.003707559575274022,0.3634033154434169,0.726825840685266,135558.3583064298,True
cos_dm_g1_report.json,global_mod,g1,chi2,171,3375,125570.01534975338,10.565704301316144,31.65804905442656,0.3567251461988304,0.07017543859649122,125640.01534975338,125854.3606208691,0.8081667096497664,-10.379796122224624,2.205597056580164,-0.00549511507263295,0.5432698559265524,0.8368704305403722,125585.72971210425,True
cos_dm_hybrid_report.json,global_mod,hybrid,chi2,171,3375,135475.26920236155,11.076837918532537,33.31557847490073,0.39766081871345027,0.09941520467836257,135547.26920236155,135767.73862408058,0.8329605009523231,-9.65733121527443,1.7418448069655041,0.002307071919868786,0.38084982522144034,0.7314402341559854,135480.81267965195,True
cos_dm_v6_amp_huber_report.json,global_mod_v6,amplitude,huber,171,3375,137411.03061920425,12.746099139519835,34.50215607787169,0.38596491228070173,0.07017543859649122,,,0.8172141721082019,-8.0,3.0,0.003972012564846692,0.3553227825791628,0.4952368428410399,27773.12755392208,True
cos_dm_v6_amp_q2_report.json,global_mod_v6,amplitude,chi2,159,3255,130863.20586030079,10.403362837336177,32.3861507419134,0.3584905660377358,0.0880503144654088,,,0.8288179565975979,-9.350994450348844,1.5595972202052901,-0.002987693191828267,0.38680256078107167,0.6674085136744531,130864.14854270878,True
cos_dm_v6_amp_report.json,global_mod_v6,amplitude,chi2,171,3375,133930.7088989959,12.44262803504237,32.51384637414009,0.38596491228070173,0.08771929824561403,,,0.829335528900801,-9.336668632212547,1.5783239347841818,-0.003359723408785763,0.3800679560970463,0.6605373907856648,133931.7186052706,True
